feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
rh_cuneus_MK,0.9902912621359223,4.56145242656932e-48,9.677528477185896e-29,3.860846410460786,0.5600118267088536,0.957488557840904,0.10081041599424266,0.10504733036804251,47.34089685022826
rh_posteriorcingulate_MD,0.970873786407767,4.782843483779994e-45,4.563067061881672e-28,3.293384150764395,0.914287493075634,1.1567788887046218,0.08000135523324954,0.06665203740281836,44.320313830970576
rh_cuneus_MD,0.9474341192787795,3.039542391483214e-42,2.7270101882917565e-28,3.3863204660220676,0.5723288296064014,0.9422453330154763,0.10687667388920563,0.11155029349592194,41.51719179527712
rh_posteriorcingulate_MK,0.946879334257975,9.500834742545563e-42,2.7270101882917565e-28,3.414624020406761,0.9140338052771055,1.1595363836322314,0.07425813649693176,0.06945646490578188,41.02223823595797
rh_superiorparietal_MK,0.9331484049930652,1.7784235750595861e-40,4.722027947008669e-28,3.6609807241053183,0.8289242765444554,1.0931697975798453,0.07387682248350488,0.0704400391264302,39.74996479319569
rh_superiorparietal_MD,0.9228848821081831,7.201390257161448e-39,5.603059598836694e-28,3.5094545541792663,0.8229736082986191,1.0892286945440375,0.07920601661234612,0.07237606965945709,38.14258365318974
lh_superiorparietal_MK,0.9137309292649098,4.4206778810084494e-38,2.183031642299231e-27,3.1748291165941493,0.8533097098622535,1.0969314335811082,0.07970095922849077,0.07365048995809018,37.35451112942736
lh_superiorparietal_MD,0.9040221914008322,5.949465740048919e-37,1.3819399906646612e-26,2.916060235322634,0.8625767830714927,1.09645390313752,0.08433818859170818,0.07584292900311847,36.22552203201368
rh_inferiorparietal_MK,0.8943134535367545,7.189548486337199e-36,2.199188888897331e-26,2.8282916684840433,0.831600860221999,1.1035475376237873,0.0986239550358406,0.09361535850429711,35.143298383059324
lh_transversetemporal_MK,0.8943134535367545,7.189548486337199e-36,8.439504261007006e-28,3.059177567944125,0.7455225869138097,1.0927280623747861,0.11686727756741834,0.11002218187816136,35.143298383059324
lh_medialorbitofrontal_MK,0.8891816920943134,3.235461279788228e-35,2.183031642299231e-27,2.809337708736933,0.8388715571162054,1.0916997481132675,0.09496850894426002,0.08473145007267548,34.49006379320692
lh_inferiorparietal_MK,0.8748959778085992,7.800540932480547e-34,4.5529576566042183e-26,2.682192833287771,0.883446929682302,1.095115550585191,0.08033627964644459,0.07747021130446828,33.1078752798934
rh_transversetemporal_MK,0.8748959778085992,7.800540932480547e-34,5.4207755291227715e-27,2.9679675552287574,0.7530532928186973,1.095034601740837,0.11717244446209936,0.1132421831771162,33.1078752798934
lh_cuneus_MK,0.8743411927877948,1.0759330375314264e-33,9.576489302794848e-27,2.846295649299566,0.6620221631577834,0.9550146368966494,0.1030809172639018,0.10279523036439674,32.968214756862515
rh_inferiorparietal_MD,0.8657420249653259,4.1688663312512574e-33,5.367705739992392e-26,2.708300187323754,0.8215665994099788,1.0986054682719564,0.10678038182190114,0.09759852478752519,32.37998202968316
