feature,ks_stat,ks_pval,mw_pval,cohens_d,Patient_mean,Control_mean,Patient_std,Control_std,-log10_ks_p
rh_cuneus_MD,0.7990351998816455,2.8594591258791926e-99,9.508372927743499e-80,2.3112221269528743,0.7220060275175878,1.4958587049149152,0.21166124829520763,0.42357261606408203,98.54371610703198
lh_inferiorparietal_MK,0.7962137143219452,2.4816306466582833e-98,6.798252368102709e-78,2.27736500737636,0.9690931924753786,1.417786549865245,0.13063022875730124,0.2461135777442621,97.60526285621954
rh_cuneus_MK,0.7932284346567192,1.780807998973847e-97,1.6925481097067705e-80,2.355857396414891,0.7208405618489897,1.5019069730355317,0.2203983933742947,0.4138419496773386,96.74938290225555
lh_superiorparietal_MD,0.7892234045925753,3.3204246666018104e-96,1.2672946788543644e-78,2.302368453820455,0.9572091437918505,1.4313005064501876,0.14049692400404545,0.2550731055617323,95.47880636853469
rh_superiorparietal_MK,0.7876647187496698,1.0175197090628355e-95,3.7826707137805663e-81,2.370900541498067,0.9358444295645554,1.421727421355718,0.1485878508871041,0.24883572835162554,94.9924571698626
lh_inferiorparietal_MD,0.7849224884023206,6.770934352790016e-95,2.0772431719839358e-77,2.2393780523131595,0.9676566943536138,1.4170602456117234,0.12976336665877977,0.2524049216117946,94.16935139685968
lh_medialorbitofrontal_MD,0.783738943897877,1.491476065884376e-94,9.671014591046274e-80,2.269775351780376,0.946618040871227,1.4258439587092253,0.15034339711645128,0.25797613368690187,93.82638371148579
lh_superiorparietal_MK,0.783416639367649,1.9114661095197934e-94,3.442478699422412e-79,2.3356067370728417,0.951884973794738,1.4257780379407081,0.1423896275641184,0.24912141187244316,93.71863339766014
lh_paracentral_MK,0.780378522894189,1.5109777658199268e-93,3.575762743953241e-79,2.2809914121239676,1.0198191035376032,1.3948276126923986,0.12499439107829322,0.19604851520930475,92.82074192629814
lh_rostralmiddlefrontal_MK,0.7783073200114128,5.363797341023173e-93,5.184864448189702e-79,2.302706180916691,0.9964113191187433,1.3953515521334046,0.12478960268008574,0.21084969240203627,92.27052763934729
