Model Configuration,Features in Pool,Features Selected,AUC-ROC (Fold Mean±SD),AUC-ROC (Pooled [95% CI]),Avg Precision (Pooled [95% CI]),Delta AUC vs Full,Delta AUC 95% CI,Paired Fold t-p,Bootstrap p-val,Brier Score,ECE,Sensitivity,Specificity,RF AUC-ROC
DTI-only,137,20,1.000 ± 0.000,1.000 [1.000-1.000],1.000 [1.000-1.000],+0.000,"[-0.000, +0.000]",0.3739,0.5910,0.0019,0.0187,1.000,0.999,1.000 [1.000-1.000]
DKI-only,138,20,1.000 ± 0.000,1.000 [1.000-1.000],1.000 [1.000-1.000],+0.000,"[+0.000, +0.000]",nan,0.4510,0.0015,0.0186,1.000,1.000,1.000 [1.000-1.000]
DTI+DKI,275,20,1.000 ± 0.000,1.000 [1.000-1.000],1.000 [0.999-1.000],+0.000,"[+0.000, +0.000]",nan,1.0000,0.0036,0.0219,1.000,0.996,1.000 [1.000-1.000]
IVIM-only,69,20,0.714 ± 0.058,0.742 [0.692-0.794],0.636 [0.572-0.699],-0.258,"[-0.308, -0.206]",0.0006,0.0000,0.1473,0.2740,0.566,0.941,0.942 [0.917-0.963]
FWI-only,69,20,0.643 ± 0.048,0.695 [0.646-0.750],0.564 [0.498-0.632],-0.305,"[-0.354, -0.250]",0.0001,0.0000,0.1635,0.2961,0.445,0.989,0.955 [0.939-0.969]
IVIM+FWI,138,20,0.724 ± 0.052,0.744 [0.693-0.793],0.631 [0.566-0.693],-0.256,"[-0.307, -0.207]",0.0004,0.0000,0.1491,0.2755,0.526,0.976,0.941 [0.917-0.962]
Full Integrated,413,20,1.000 ± 0.000,1.000 [1.000-1.000],1.000 [0.999-1.000],Reference,--,--,--,0.0036,0.0219,1.000,0.996,1.000 [1.000-1.000]
